date,open,high,low,close
2021-03-11,30.82,31.66,30.56,31.4
2021-03-10,31.16,31.28,30.5,30.76
2021-03-09,31.44,31.5,30.48,30.87
2021-03-08,31.72,32.36,31.48,31.59
2021-03-05,31.03,31.91,31.0,31.71
2021-03-04,32.34,32.5,31.4,31.63
2021-03-03,32.37,32.54,31.92,32.33
2021-03-02,32.21,32.66,31.87,32.15
2021-03-01,31.76,32.1,31.43,32.07
2021-02-26,31.48,32.25,31.39,31.76
2021-02-25,32.49,32.55,31.96,31.98
2021-02-24,32.36,32.78,31.81,32.08
2021-02-23,32.6,32.99,32.1,32.35
2021-02-22,33.01,33.34,32.66,32.7
2021-02-19,32.37,33.0,31.95,32.95
2021-02-18,32.89,33.17,32.4,32.46
2021-02-10,31.71,32.44,31.36,32.21
2021-02-09,30.86,31.98,30.73,31.7
2021-02-08,31.18,31.44,30.47,30.92
2021-02-05,31.41,31.64,30.83,30.89
2021-02-04,31.4,31.7,30.57,31.49
2021-02-03,31.4,32.79,31.16,31.94
2021-02-02,32.25,32.27,31.52,31.72
2021-02-01,31.98,32.6,31.71,32.32
2021-01-29,32.8,32.85,31.8,32.19
2021-01-28,33.5,33.5,32.2,32.52
2021-01-27,34.06,34.55,33.88,33.92
2021-01-26,35.29,35.81,33.84,34.03
2021-01-25,34.96,36.1,34.45,35.7
2021-01-22,35.4,35.4,33.8,33.88
2021-01-21,35.86,35.86,34.7,35.32
2021-01-20,35.6,36.09,35.09,35.87
2021-01-19,36.43,37.09,35.62,35.86
2021-01-18,35.3,36.68,35.1,36.33
2021-01-15,35.92,35.97,34.73,35.1
2021-01-14,36.4,36.87,35.5,35.91
2021-01-13,35.64,37.24,35.21,36.72
2021-01-12,35.1,35.35,34.36,35.32
2021-01-11,34.19,35.05,33.68,34.93
2021-01-08,32.55,35.05,32.38,33.9
2021-01-07,33.3,33.31,32.21,32.67
2021-01-06,34.8,34.87,33.32,33.63
2021-01-05,33.98,35.13,33.65,34.51
2021-01-04,33.0,34.48,32.72,34.33
